,Location,Price,Sqft,Bath,Bed,Street,zipcode,kmeans
636,"7689 Delwau Ln, Austin, TX 78725",799980,1500,4,3,7689 Delwau Ln,78725,8
637,"11803 Three Oaks Trl, Austin, TX 78759",735000,2322,2,4,11803 Three Oaks Trl,78759,2
638,"15105 Sun Bird Ln, Austin, TX 78734",539500,1661,2,3,15105 Sun Bird Ln,78734,1
639,"3403 Cambridge Ct #B, Austin, TX 78723",675000,1100,3,2,3403 Cambridge Ct #B,78723,5
640,"8101 Bestride Bnd, Austin, TX 78744",690000,2809,3,4,8101 Bestride Bnd,78744,2
641,"2401 Never Bend Cv, Austin, TX 78746",3895000,5405,6,5,2401 Never Bend Cv,78746,0
642,"15214 Kevin Ln, Austin, TX 78734",775000,2921,2,3,15214 Kevin Ln,78734,1
643,"1704 Meander Dr, Austin, TX 78721",495000,864,1,3,1704 Meander Dr,78721,1
644,"4005 Balcones Dr, Austin, TX 78731",3749950,3854,5,4,4005 Balcones Dr,78731,7
645,"12904 Stanzel Dr, Austin, TX 78729",675000,2383,3,4,12904 Stanzel Dr,78729,2
647,"716 Sheraton Ave, Austin, TX 78745",549000,1418,2,3,716 Sheraton Ave,78745,1
648,"2003 Ohlen Rd, Austin, TX 78757",540000,1255,1,3,2003 Ohlen Rd,78757,1
649,"6806 Wake Forest Ln, Austin, TX 78723",429900,1275,1,3,6806 Wake Forest Ln,78723,1
650,"403 Ridgewood Rd, Austin, TX 78746",3949000,4171,5,6,403 Ridgewood Rd,78746,0
651,"11709 Barrington Way, Austin, TX 78759",625000,1449,2,3,11709 Barrington Way,78759,1
652,"8001 Borden Springs Ct, Austin, TX 78717",775000,3219,4,4,8001 Borden Springs Ct,78717,7
653,"4607 Trail West Dr, Austin, TX 78735",925000,2196,3,4,4607 Trail West Dr,78735,2
654,"1400 Drake Ave, Austin, TX 78704",2600000,2456,4,4,1400 Drake Ave,78704,7
655,"15215 Thatcher Dr, Austin, TX 78717",950000,4019,4,5,15215 Thatcher Dr,78717,6
656,"1708 Garden St UNIT 1, Austin, TX 78702",875000,1288,2,3,1708 Garden St UNIT 1,78702,1
657,"2300 Southern Oaks Dr, Austin, TX 78745",1250000,2230,3,4,2300 Southern Oaks Dr,78745,2
658,"8221 Phantom Canyon Dr, Austin, TX 78726",949000,4189,4,5,8221 Phantom Canyon Dr,78726,6
659,"1121 Salem Park Ct, Austin, TX 78745",545000,1514,3,3,1121 Salem Park Ct,78745,8
660,"1802 Hether St, Austin, TX 78704",3373000,3380,5,5,1802 Hether St,78704,0
661,"11716 Saddle Rock Dr, Austin, TX 78725",500000,2322,3,3,11716 Saddle Rock Dr,78725,8
662,"2401 W 12th St, Austin, TX 78703",2195000,3289,4,4,2401 W 12th St,78703,7
663,"1409 Falconer Way, Austin, TX 78748",449000,1910,3,4,1409 Falconer Way,78748,2
664,"13401 Bullick Hollow Rd, Austin, TX 78726",5995000,6178,5,7,13401 Bullick Hollow Rd,78726,4
665,"5000 Savorey Ln, Austin, TX 78744",335859,907,1,2,5000 Savorey Ln,78744,5
666,"8507 Chalk Knoll Dr, Austin, TX 78735",3795000,6603,6,5,8507 Chalk Knoll Dr,78735,0
667,"1600 Susan Dr, Austin, TX 78734",890000,3183,3,3,1600 Susan Dr,78734,8
668,"7810 Libretto Ln, Austin, TX 78744",514442,3125,3,4,7810 Libretto Ln,78744,2
669,"708 E 47th St UNIT B, Austin, TX 78751",912000,1928,3,3,708 E 47th St UNIT B,78751,8
670,"12800 Partridge Bend Dr, Austin, TX 78729",595000,2285,3,4,12800 Partridge Bend Dr,78729,2
672,"4901 Bandera Rd, Austin, TX 78721",550000,1689,2,4,4901 Bandera Rd,78721,2
673,"11601 Barchetta Dr, Austin, TX 78758",499900,1836,2,3,11601 Barchetta Dr,78758,1
675,"7021 Van Buren Ln, Austin, TX 78724",534920,2081,3,4,7021 Van Buren Ln,78724,2
676,"10729 Canfield Dr, Austin, TX 78739",2175000,5009,5,5,10729 Canfield Dr,78739,0
677,"4904 Louis Ave, Austin, TX 78721",485000,834,1,2,4904 Louis Ave,78721,5
678,"12513 Morelia Way, Austin, TX 78748",749900,4033,5,5,12513 Morelia Way,78748,0
679,"6303 Clubway Ln, Austin, TX 78745",479500,1770,2,4,6303 Clubway Ln,78745,2
720,"2813 Sissinghurst Dr, Austin, TX 78745",515000,1681,3,3,2813 Sissinghurst Dr,78745,8
721,"616 W Monroe St, Austin, TX 78704",3200000,5131,6,6,616 W Monroe St,78704,0
722,"3209 E 16th St, Austin, TX 78721",350000,792,1,3,3209 E 16th St,78721,1
723,"3209 Lynnbrook Dr, Austin, TX 78748",588500,2334,2,4,3209 Lynnbrook Dr,78748,2
724,"7013 Loretta White Ln, Austin, TX 78744",429500,1512,2,3,7013 Loretta White Ln,78744,1
725,"2422 S 6th St, Austin, TX 78704",2590000,2810,4,3,2422 S 6th St,78704,8
726,"2301 W 10th St, Austin, TX 78703",1190000,1776,3,4,2301 W 10th St,78703,2
727,"1304 Tetbury Ln, Austin, TX 78748",475000,2194,3,3,1304 Tetbury Ln,78748,8
728,"5011 Balcones Dr UNIT D, Austin, TX 78731",1100000,2544,4,4,5011 Balcones Dr UNIT D,78731,7
730,"6508 Garden Rose Path, Austin, TX 78754",389999,1788,3,3,6508 Garden Rose Path,78754,8
731,"10602 Skyflower Dr, Austin, TX 78759",1275000,3325,4,4,10602 Skyflower Dr,78759,7
732,"11901 Swearingen Dr APT 33F, Austin, TX 78758",350000,1042,3,2,11901 Swearingen Dr APT 33F,78758,5
733,"1103 Cadence Dr, Pflugerville, TX 78660",535000,2994,3,4,1103 Cadence Dr,78660,2
734,"6710 Stonleigh Pl, Austin, TX 78744",375000,1516,1,4,6710 Stonleigh Pl,78744,2
735,"6846 Thistle Hill Way, Austin, TX 78754",525000,2643,3,5,6846 Thistle Hill Way,78754,6
736,"11404 Archstone Dr, Austin, TX 78739",1185000,3435,4,4,11404 Archstone Dr,78739,7
737,"2819 Nordham Dr, Austin, TX 78745",637000,1517,2,3,2819 Nordham Dr,78745,1
738,"601 Westmorland Dr, Austin, TX 78745",499000,992,2,3,601 Westmorland Dr,78745,1
739,"11312 Hollister Dr, Austin, TX 78739",1150000,3326,3,4,11312 Hollister Dr,78739,2
740,"7801 House Finch Dr, Austin, TX 78744",467882,2458,4,4,7801 House Finch Dr,78744,7
741,"701 W Caddo St, Austin, TX 78753",523999,1540,2,3,701 W Caddo St,78753,1
742,"5516 Loma Alta Dr, Austin, TX 78744",465000,2068,3,4,5516 Loma Alta Dr,78744,2
743,"1205 Echo Ln, Austin, TX 78745",575000,1897,2,4,1205 Echo Ln,78745,2
744,"2109 Thornton Rd UNIT A, Austin, TX 78704",965000,2067,3,3,2109 Thornton Rd UNIT A,78704,8
